No.,1,,,,,,No.,2,,,,,,No.,3,,,,,,No.,4,,,,,,No.,5,,,,,,No.,6,,,,,,No.,7,,,,,,No.,8,,,,,,No.,9,,,,,,No.,10,,,,,,No.,11,,,,,,No.,12,,,,,,No.,13,,,,,,No.,14,,,,,
[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,
Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-1.08827728398,-10.8827728398,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,2.022318977037,20.223189770372,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.186866510141,-21.86866510141,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.363184569655,3.631845696549,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.021385435975,-20.213854359755,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.402108655521,4.021086555207,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.030946200031,-20.309462000305,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.358559537042,3.585595370421,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.175962408465,-21.759624084651,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.329754427253,3.297544272534,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.027572370152,-20.275723701523,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.327636220504,3.276362205041,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-1.812218479705E-7,-1.812218479705E-6,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,1.15706474249E-6,1.15706474249E-5,,
Comment,,-0.180000007153,-1.000606861162,-10.006068611617,,,Comment,,1.179999947548,2.009572909553,20.095729095526,,,Comment,,-0.180000007153,-2.170643373938,-21.706433739383,,,Comment,,1.179999947548,0.027736722623,0.277367226229,,,Comment,,-0.180000007153,-2.011873363672,-20.118733636718,,,Comment,,1.179999947548,0.05210528291,0.521052829103,,,Comment,,-0.180000007153,-2.016958646975,-20.169586469745,,,Comment,,1.179999947548,0.026266507526,0.262665075255,,,Comment,,-0.180000007153,-2.161029295497,-21.610292954973,,,Comment,,1.179999947548,0.013191004945,0.13191004945,,,Comment,,-0.180000007153,-2.017360508011,-20.173605080109,,,Comment,,1.179999947548,0.009381882541,0.09381882541,,,Comment,,-0.180000007153,-1.48544092047E-7,-1.48544092047E-6,,,Comment,,1.179999947548,9.541750340737E-7,9.541750340737E-6,,
Test Mode,Single-Channel,-0.159999996424,-0.90182000365,-9.018200036505,,,Test Mode,Single-Channel,1.159999966621,2.003875974646,20.038759746456,,,Test Mode,Single-Channel,-0.159999996424,-2.159262293413,-21.592622934134,,,Test Mode,Single-Channel,1.159999966621,-0.289554985387,-2.895549853871,,,Test Mode,Single-Channel,-0.159999996424,-2.007403969388,-20.074039693884,,,Test Mode,Single-Channel,1.159999966621,-0.275333762966,-2.753337629662,,,Test Mode,Single-Channel,-0.159999996424,-2.005214612588,-20.052146125879,,,Test Mode,Single-Channel,1.159999966621,-0.288326284891,-2.883262848915,,,Test Mode,Single-Channel,-0.159999996424,-2.139289815313,-21.392898153135,,,Test Mode,Single-Channel,1.159999966621,-0.287895075091,-2.87895075091,,,Test Mode,Single-Channel,-0.159999996424,-2.009910670056,-20.099106700556,,,Test Mode,Single-Channel,1.159999966621,-0.293758920062,-2.937589200621,,,Test Mode,Single-Channel,-0.159999996424,-1.192418762845E-7,-1.192418762845E-6,,,Test Mode,Single-Channel,1.159999966621,8.194080178135E-7,8.194080178135E-6,,
Channel,CH_Ref (normal),-0.140000000596,-0.783283382723,-7.832833827232,,,Channel,CH_Ref (normal),1.139999985695,1.999932482094,19.999324820942,,,Channel,CH_Ref (normal),-0.140000000596,-2.141678176534,-21.416781765344,,,Channel,CH_Ref (normal),1.139999985695,-0.575046588268,-5.750465882679,,,Channel,CH_Ref (normal),-0.140000000596,-2.004969304777,-20.049693047774,,,Channel,CH_Ref (normal),1.139999985695,-0.565639960186,-5.65639960186,,,Channel,CH_Ref (normal),-0.140000000596,-2.000922034079,-20.009220340788,,,Channel,CH_Ref (normal),1.139999985695,-0.570453114767,-5.704531147669,,,Channel,CH_Ref (normal),-0.140000000596,-2.111608862851,-21.116088628511,,,Channel,CH_Ref (normal),1.139999985695,-0.561151430121,-5.611514301214,,,Channel,CH_Ref (normal),-0.140000000596,-2.005562080624,-20.055620806236,,,Channel,CH_Ref (normal),1.139999985695,-0.568178085138,-5.681780851381,,,Channel,CH_Ref (normal),-0.140000000596,-7.912970604401E-8,-7.912970604401E-7,,,Channel,CH_Ref (normal),1.139999985695,7.465452276103E-7,7.465452276103E-6,,
Power,---,-0.119999997318,-0.639216153024,-6.392161530239,,,Power,---,1.120000004768,1.99911789683,19.991178968301,,,Power,---,-0.119999997318,-2.111132577397,-21.111325773973,,,Power,---,1.120000004768,-0.82330276334,-8.233027633405,,,Power,---,-0.119999997318,-2.003408626285,-20.034086262854,,,Power,---,1.120000004768,-0.818055398911,-8.180553989113,,,Power,---,-0.119999997318,-1.999259195362,-19.992591953617,,,Power,---,1.120000004768,-0.819219532397,-8.192195323967,,,Power,---,-0.119999997318,-2.082119920945,-20.821199209446,,,Power,---,1.120000004768,-0.804322745633,-8.043227456327,,,Power,---,-0.119999997318,-2.001763122448,-20.017631224481,,,Power,---,1.120000004768,-0.81199782146,-8.1199782146,,,Power,---,-0.119999997318,-5.682841247139E-8,-5.682841247139E-7,,,Power,---,1.120000004768,6.822627509055E-7,6.822627509055E-6,,
Area (cm^2),0.1,-0.10000000149,-0.481995572838,-4.819955728384,,,Area (cm^2),0.1,1.100000023842,1.996799029216,19.967990292163,,,Area (cm^2),0.1,-0.10000000149,-2.06838360808,-20.683836080802,,,Area (cm^2),0.1,1.100000023842,-1.028040560455,-10.280405604547,,,Area (cm^2),0.1,-0.10000000149,-2.0010103264,-20.010103264001,,,Area (cm^2),0.1,1.100000023842,-1.027036158256,-10.270361582564,,,Area (cm^2),0.1,-0.10000000149,-2.000236728496,-20.002367284962,,,Area (cm^2),0.1,1.100000023842,-1.024666749838,-10.246667498375,,,Area (cm^2),0.1,-0.10000000149,-2.054007984848,-20.540079848478,,,Area (cm^2),0.1,1.100000023842,-1.006623258643,-10.06623258643,,,Area (cm^2),0.1,-0.10000000149,-2.000231720642,-20.00231720642,,,Area (cm^2),0.1,1.100000023842,-1.012762464117,-10.127624641174,,,Area (cm^2),0.1,-0.10000000149,-4.144539342078E-8,-4.144539342078E-7,,,Area (cm^2),0.1,1.100000023842,6.210892684574E-7,6.210892684574E-6,,
Start (V),-0.2,-0.079999998212,-0.321855389594,-3.21855389594,,,Start (V),-0.2,1.080000042915,1.995880819893,19.958808198928,,,Start (V),-0.2,-0.079999998212,-2.031865642057,-20.318656420567,,,Start (V),-0.2,1.080000042915,-1.200051356415,-12.000513564152,,,Start (V),-0.2,-0.079999998212,-1.999033996012,-19.990339960117,,,Start (V),-0.2,1.080000042915,-1.203289550489,-12.032895504893,,,Start (V),-0.2,-0.079999998212,-1.997498510878,-19.974985108784,,,Start (V),-0.2,1.080000042915,-1.200210182436,-12.002101824364,,,Start (V),-0.2,-0.079999998212,-2.029251079915,-20.29251079915,,,Start (V),-0.2,1.080000042915,-1.178708228628,-11.787082286282,,,Start (V),-0.2,-0.079999998212,-1.994307198024,-19.943071980238,,,Start (V),-0.2,1.080000042915,-1.182967061905,-11.829670619046,,,Start (V),-0.2,-0.079999998212,-2.016044459111E-8,-2.016044459111E-7,,,Start (V),-0.2,1.080000042915,5.730177937158E-7,5.730177937158E-6,,
End (V),1.2,-0.059999998659,-0.170772858622,-1.707728586223,,,End (V),1.2,1.05999994278,1.992773947164,19.927739471639,,,End (V),1.2,-0.059999998659,-2.00309860159,-20.030986015901,,,End (V),1.2,1.05999994278,-1.344779998454,-13.447799984544,,,End (V),1.2,-0.059999998659,-1.995081720455,-19.950817204546,,,End (V),1.2,1.05999994278,-1.350637261739,-13.506372617389,,,End (V),1.2,-0.059999998659,-1.997981884372,-19.97981884372,,,End (V),1.2,1.05999994278,-1.34578276347,-13.457827634696,,,End (V),1.2,-0.059999998659,-2.007273842224,-20.072738422238,,,End (V),1.2,1.05999994278,-1.322578524462,-13.225785244621,,,End (V),1.2,-0.059999998659,-1.989842041156,-19.898420411555,,,End (V),1.2,1.05999994278,-1.324420105051,-13.244201050513,,,End (V),1.2,-0.059999998659,-1.021501755369E-9,-1.021501755369E-8,,,End (V),1.2,1.05999994278,5.416398666767E-7,5.416398666767E-6,,
Step (V),0.02,-0.039999999106,-0.024253407931,-0.24253407931,,,Step (V),0.02,1.039999961853,1.988849484458,19.888494844585,,,Step (V),0.02,-0.039999999106,-1.985517258292,-19.855172582918,,,Step (V),0.02,1.039999961853,-1.469168277722,-14.691682777217,,,Step (V),0.02,-0.039999999106,-1.99069761378,-19.9069761378,,,Step (V),0.02,1.039999961853,-1.476715845877,-14.767158458773,,,Step (V),0.02,-0.039999999106,-1.996172122918,-19.961721229178,,,Step (V),0.02,1.039999961853,-1.470286801212,-14.702868012122,,,Step (V),0.02,-0.039999999106,-1.995543983917,-19.955439839167,,,Step (V),0.02,1.039999961853,-1.444139947093,-14.441399470927,,,Step (V),0.02,-0.039999999106,-1.989778942193,-19.897789421929,,,Step (V),0.02,1.039999961853,-1.448140182484,-14.481401824841,,,Step (V),0.02,-0.039999999106,2.969134518387E-8,2.969134518387E-7,,,Step (V),0.02,1.039999961853,5.108613837815E-7,5.108613837815E-6,,
Delay (ms),10,-0.019999999553,0.131727251638,1.317272516375,,,Delay (ms),10,1.019999980927,1.988342535528,19.883425355283,,,Delay (ms),10,-0.019999999553,-1.980645078445,-19.806450784451,,,Delay (ms),10,1.019999980927,-1.567513326929,-15.67513326929,,,Delay (ms),10,-0.019999999553,-1.990971196706,-19.909711967056,,,Delay (ms),10,1.019999980927,-1.574634495563,-15.746344955627,,,Delay (ms),10,-0.019999999553,-1.99452877631,-19.9452877631,,,Delay (ms),10,1.019999980927,-1.568095740369,-15.680957403693,,,Delay (ms),10,-0.019999999553,-1.991273594054,-19.912735940538,,,Delay (ms),10,1.019999980927,-1.544659021362,-15.446590213623,,,Delay (ms),10,-0.019999999553,-1.994822775872,-19.948227758719,,,Delay (ms),10,1.019999980927,-1.547928726396,-15.479287263957,,,Delay (ms),10,-0.019999999553,3.975108523129E-8,3.975108523129E-7,,,Delay (ms),10,1.019999980927,4.744632543949E-7,4.744632543949E-6,,
Reverse data,FALSE,0,0.291373366129,2.913733661287,,,Reverse data,TRUE,1,1.988285523035,19.882855230347,,,Reverse data,FALSE,0,-1.985629049006,-19.856290490058,,,Reverse data,TRUE,1,-1.643727320278,-16.43727320278,,,Reverse data,FALSE,0,-1.991150863105,-19.911508631046,,,Reverse data,TRUE,1,-1.653835519838,-16.538355198381,,,Reverse data,FALSE,0,-1.995841219323,-19.958412193228,,,Reverse data,TRUE,1,-1.644315203836,-16.44315203836,,,Reverse data,FALSE,0,-1.993706101435,-19.937061014353,,,Reverse data,TRUE,1,-1.624834997801,-16.248349978012,,,Reverse data,FALSE,0,-1.998483825448,-19.984838254479,,,Reverse data,TRUE,1,-1.630143978098,-16.301439780977,,,Reverse data,FALSE,0,3.45964951812E-8,3.45964951812E-7,,,Reverse data,TRUE,1,4.411432506652E-7,4.411432506652E-6,,
Temperature (degC),NaN,0.019999999553,0.458030823761,4.580308237614,,,Temperature (degC),NaN,0.980000019073,1.986386621776,19.863866217763,,,Temperature (degC),NaN,0.019999999553,-1.99200389328,-19.9200389328,,,Temperature (degC),NaN,0.980000019073,-1.706535480616,-17.065354806162,,,Temperature (degC),NaN,0.019999999553,-1.99197669678,-19.919766967796,,,Temperature (degC),NaN,0.980000019073,-1.712323982211,-17.123239822107,,,Temperature (degC),NaN,0.019999999553,-2.001339689117,-20.013396891168,,,Temperature (degC),NaN,0.980000019073,-1.706154614045,-17.061546140454,,,Temperature (degC),NaN,0.019999999553,-1.996814283911,-19.968142839106,,,Temperature (degC),NaN,0.980000019073,-1.691615811811,-16.916158118108,,,Temperature (degC),NaN,0.019999999553,-1.99752277971,-19.975227797102,,,Temperature (degC),NaN,0.980000019073,-1.695457413791,-16.954574137907,,,Temperature (degC),NaN,0.019999999553,4.640194363186E-8,4.640194363186E-7,,,Temperature (degC),NaN,0.980000019073,4.042973015659E-7,4.042973015659E-6,,
Time stamp,2025/05/23 09:13:51,0.039999999106,0.617095498094,6.170954980936,,,Time stamp,2025/05/23 09:14:01,0.959999978542,1.926538295864,19.26538295864,,,Time stamp,2025/05/23 09:14:40,0.039999999106,-1.990618643772,-19.906186437719,,,Time stamp,2025/05/23 09:14:49,0.959999978542,-1.753834778845,-17.538347788445,,,Time stamp,2025/05/23 09:15:10,0.039999999106,-1.990579351378,-19.905793513776,,,Time stamp,2025/05/23 09:15:20,0.959999978542,-1.761523144746,-17.615231447463,,,Time stamp,2025/05/23 09:16:00,0.039999999106,-1.998940079485,-19.98940079485,,,Time stamp,2025/05/23 09:16:10,0.959999978542,-1.753483497135,-17.534834971353,,,Time stamp,2025/05/23 09:16:44,0.039999999106,-1.993819510071,-19.938195100713,,,Time stamp,2025/05/23 09:16:54,0.959999978542,-1.740307986894,-17.403079868944,,,Time stamp,2025/05/23 09:17:15,0.039999999106,-1.99636642766,-19.963664276597,,,Time stamp,2025/05/23 09:17:25,0.959999978542,-1.748637319608,-17.486373196083,,,Time stamp,2025/05/23 09:18:02,0.039999999106,6.653814842771E-8,6.653814842771E-7,,,Time stamp,2025/05/23 09:18:11,0.959999978542,3.818840346964E-7,3.818840346964E-6,,
Rsh method,Linear fit,0.059999998659,0.772755756115,7.727557561152,,,Rsh method,Linear fit,0.939999997616,1.818235899073,18.182358990731,,,Rsh method,Linear fit,0.059999998659,-1.986228758804,-19.862287588039,,,Rsh method,Linear fit,0.939999997616,-1.794911201912,-17.949112019119,,,Rsh method,Linear fit,0.059999998659,-1.989173608189,-19.891736081893,,,Rsh method,Linear fit,0.939999997616,-1.797197518473,-17.971975184735,,,Rsh method,Linear fit,0.059999998659,-1.992168690204,-19.921686902042,,,Rsh method,Linear fit,0.939999997616,-1.79192563482,-17.919256348199,,,Rsh method,Linear fit,0.059999998659,-1.99240090055,-19.9240090055,,,Rsh method,Linear fit,0.939999997616,-1.779327607209,-17.79327607209,,,Rsh method,Linear fit,0.059999998659,-1.996540238721,-19.965402387215,,,Rsh method,Linear fit,0.939999997616,-1.793263926065,-17.932639260646,,,Rsh method,Linear fit,0.059999998659,9.818076154026E-8,9.818076154026E-7,,,Rsh method,Linear fit,0.939999997616,3.677833116064E-7,3.677833116064E-6,,
[Option],,0.079999998212,0.909290893854,9.092908938543,,,[Option],,0.920000016689,1.674931298151,16.74931298151,,,[Option],,0.079999998212,-1.984749592769,-19.847495927691,,,[Option],,0.920000016689,-1.822718583431,-18.227185834311,,,[Option],,0.079999998212,-1.985607553755,-19.856075537548,,,[Option],,0.920000016689,-1.826580216828,-18.265802168277,,,[Option],,0.079999998212,-1.986599494101,-19.865994941006,,,[Option],,0.920000016689,-1.820605577146,-18.206055771458,,,[Option],,0.079999998212,-1.988816509665,-19.888165096648,,,[Option],,0.920000016689,-1.811989217344,-18.119892173438,,,[Option],,0.079999998212,-1.995720645603,-19.957206456031,,,[Option],,0.920000016689,-1.826883962444,-18.268839624442,,,[Option],,0.079999998212,8.680746659763E-8,8.680746659763E-7,,,[Option],,0.920000016689,3.571912948614E-7,3.571912948614E-6,,
Correct to 1SUN,TRUE,0.10000000149,1.038560829369,10.385608293693,,,Correct to 1SUN,TRUE,0.899999976158,1.513178764027,15.131787640269,,,Correct to 1SUN,TRUE,0.10000000149,-1.987272164482,-19.872721644818,,,Correct to 1SUN,TRUE,0.899999976158,-1.848995680281,-18.489956802809,,,Correct to 1SUN,TRUE,0.10000000149,-1.98237348153,-19.8237348153,,,Correct to 1SUN,TRUE,0.899999976158,-1.84453637875,-18.445363787498,,,Correct to 1SUN,TRUE,0.10000000149,-1.987235645668,-19.872356456683,,,Correct to 1SUN,TRUE,0.899999976158,-1.846295946096,-18.462959460963,,,Correct to 1SUN,TRUE,0.10000000149,-1.99014752026,-19.901475202601,,,Correct to 1SUN,TRUE,0.899999976158,-1.841083655907,-18.410836559074,,,Correct to 1SUN,TRUE,0.10000000149,-1.993390529578,-19.933905295785,,,Correct to 1SUN,TRUE,0.899999976158,-1.853768589049,-18.537685890492,,,Correct to 1SUN,TRUE,0.10000000149,8.788814311888E-8,8.788814311888E-7,,,Correct to 1SUN,TRUE,0.899999976158,3.366890340271E-7,3.366890340271E-6,,
Temp. connection,FALSE,0.119999997318,1.154529230067,11.54529230067,,,Temp. connection,FALSE,0.879999995232,1.341545463966,13.415454639661,,,Temp. connection,FALSE,0.119999997318,-1.984782028255,-19.847820282554,,,Temp. connection,FALSE,0.879999995232,-1.867643157211,-18.676431572106,,,Temp. connection,FALSE,0.119999997318,-1.986243011927,-19.862430119274,,,Temp. connection,FALSE,0.879999995232,-1.861436538315,-18.614365383147,,,Temp. connection,FALSE,0.119999997318,-1.988086595658,-19.880865956582,,,Temp. connection,FALSE,0.879999995232,-1.867030041772,-18.670300417721,,,Temp. connection,FALSE,0.119999997318,-1.991095853753,-19.910958537526,,,Temp. connection,FALSE,0.879999995232,-1.86401670035,-18.640167003504,,,Temp. connection,FALSE,0.119999997318,-1.991703576117,-19.917035761174,,,Temp. connection,FALSE,0.879999995232,-1.873555352803,-18.735553528032,,,Temp. connection,FALSE,0.119999997318,1.033852593473E-7,1.033852593473E-6,,,Temp. connection,FALSE,0.879999995232,3.136432318013E-7,3.136432318013E-6,,
MMF correction,FALSE,0.140000000596,1.26979789871,12.697978987099,,,MMF correction,FALSE,0.860000014305,1.204152326719,12.041523267193,,,MMF correction,FALSE,0.140000000596,-1.983564195164,-19.835641951644,,,MMF correction,FALSE,0.860000014305,-1.881160819457,-18.811608194574,,,MMF correction,FALSE,0.140000000596,-1.989726013027,-19.897260130265,,,MMF correction,FALSE,0.860000014305,-1.877340173421,-18.773401734212,,,MMF correction,FALSE,0.140000000596,-1.985352461368,-19.853524613676,,,MMF correction,FALSE,0.860000014305,-1.883231027851,-18.832310278505,,,MMF correction,FALSE,0.140000000596,-1.990872349369,-19.908723493686,,,MMF correction,FALSE,0.860000014305,-1.880677792661,-18.806777926615,,,MMF correction,FALSE,0.140000000596,-1.989627704997,-19.896277049969,,,MMF correction,FALSE,0.860000014305,-1.892781352456,-18.927813524557,,,MMF correction,FALSE,0.140000000596,1.324006134237E-7,1.324006134237E-6,,,MMF correction,FALSE,0.860000014305,2.971821583613E-7,2.971821583613E-6,,
Monitor,FALSE,0.159999996424,1.366808431824,13.66808431824,,,Monitor,FALSE,0.839999973774,1.139194410151,11.391944101506,,,Monitor,FALSE,0.159999996424,-1.982313695456,-19.823136954555,,,Monitor,FALSE,0.839999973774,-1.891441481811,-18.914414818108,,,Monitor,FALSE,0.159999996424,-1.988464804214,-19.884648042141,,,Monitor,FALSE,0.839999973774,-1.897070733643,-18.970707336426,,,Monitor,FALSE,0.159999996424,-1.98507510329,-19.850751032903,,,Monitor,FALSE,0.839999973774,-1.895016473339,-18.950164733389,,,Monitor,FALSE,0.159999996424,-1.988849022195,-19.88849022195,,,Monitor,FALSE,0.839999973774,-1.895851359673,-18.958513596735,,,Monitor,FALSE,0.159999996424,-1.98843044263,-19.884304426301,,,Monitor,FALSE,0.839999973774,-1.90669617606,-19.066961760604,,,Monitor,FALSE,0.159999996424,1.343460837316E-7,1.343460837316E-6,,,Monitor,FALSE,0.839999973774,2.738202583679E-7,2.738202583679E-6,,
AM0,FALSE,0.180000007153,1.452622250491,14.526222504907,,,AM0,FALSE,0.819999992847,1.140677389859,11.40677389859,,,AM0,FALSE,0.180000007153,-1.978548559557,-19.785485595567,,,AM0,FALSE,0.819999992847,-1.904943966407,-19.049439664073,,,AM0,FALSE,0.180000007153,-1.977968264824,-19.779682648239,,,AM0,FALSE,0.819999992847,-1.913038007019,-19.13038007019,,,AM0,FALSE,0.180000007153,-1.983085598393,-19.830855983933,,,AM0,FALSE,0.819999992847,-1.906668016511,-19.066680165112,,,AM0,FALSE,0.180000007153,-1.986507195496,-19.86507195496,,,AM0,FALSE,0.819999992847,-1.908266138344,-19.082661383436,,,AM0,FALSE,0.180000007153,-1.987374247663,-19.87374247663,,,AM0,FALSE,0.819999992847,-1.918230535445,-19.18230535445,,,AM0,FALSE,0.180000007153,1.403318918814E-7,1.403318918814E-6,,,AM0,FALSE,0.819999992847,2.454360619953E-7,2.454360619953E-6,,
[Calibration],,0.20000000298,1.525231359274,15.252313592744,,,[Calibration],,0.800000011921,1.140003332687,11.400033326874,,,[Calibration],,0.20000000298,-1.974450516921,-19.744505169212,,,[Calibration],,0.800000011921,-1.919314812917,-19.193148129173,,,[Calibration],,0.20000000298,-1.96924843505,-19.692484350503,,,[Calibration],,0.800000011921,-1.923968688844,-19.23968688844,,,[Calibration],,0.20000000298,-1.981614213793,-19.816142137934,,,[Calibration],,0.800000011921,-1.916102775251,-19.161027752508,,,[Calibration],,0.20000000298,-1.983390152971,-19.83390152971,,,[Calibration],,0.800000011921,-1.919447482531,-19.194474825309,,,[Calibration],,0.20000000298,-1.984086013569,-19.840860135693,,,[Calibration],,0.800000011921,-1.922964036253,-19.22964036253,,,[Calibration],,0.20000000298,1.561281286068E-7,1.561281286068E-6,,,[Calibration],,0.800000011921,2.202109880605E-7,2.202109880605E-6,,
