No.,1,,,,,,No.,2,,,,,,No.,3,,,,,,No.,4,,,,,,No.,5,,,,,,No.,6,,,,,,No.,7,,,,,,No.,8,,,,,,No.,9,,,,,,No.,10,,,,,,No.,11,,,,,,No.,12,,,,,,No.,13,,,,,,No.,14,,,,,
Ref Cell Isc (A),0.05475,0.219999998808,1.589392795898,15.893927958979,,,Ref Cell Isc (A),0.05475,0.77999997139,1.100637399996,11.006373999957,,,Ref Cell Isc (A),0.05475,0.219999998808,-1.970243534196,-19.702435341964,,,Ref Cell Isc (A),0.05475,0.77999997139,-1.931549462925,-19.31549462925,,,Ref Cell Isc (A),0.05475,0.219999998808,-1.971988886942,-19.719888869415,,,Ref Cell Isc (A),0.05475,0.77999997139,-1.931641260744,-19.316412607442,,,Ref Cell Isc (A),0.05475,0.219999998808,-1.980888845377,-19.808888453775,,,Ref Cell Isc (A),0.05475,0.77999997139,-1.925776254547,-19.257762545467,,,Ref Cell Isc (A),0.05475,0.219999998808,-1.982969570264,-19.829695702644,,,Ref Cell Isc (A),0.05475,0.77999997139,-1.926025298987,-19.260252989869,,,Ref Cell Isc (A),0.05475,0.219999998808,-1.981560822364,-19.815608223636,,,Ref Cell Isc (A),0.05475,0.77999997139,-1.926610100788,-19.266101007885,,,Ref Cell Isc (A),0.05475,0.219999998808,1.748511053511E-7,1.748511053511E-6,,,Ref Cell Isc (A),0.05475,0.77999997139,2.133933625321E-7,2.133933625321E-6,,
Light Intensity (SUN),1.00735,0.239999994636,1.64122100483,16.412210048304,,,Light Intensity (SUN),1.00735,0.759999990463,1.057717316154,10.577173161537,,,Light Intensity (SUN),1.00735,0.239999994636,-1.974764779031,-19.747647790315,,,Light Intensity (SUN),1.00735,0.759999990463,-1.93512518637,-19.351251863703,,,Light Intensity (SUN),1.00735,0.239999994636,-1.976375998329,-19.763759983287,,,Light Intensity (SUN),1.00735,0.759999990463,-1.936177220966,-19.361772209661,,,Light Intensity (SUN),1.00735,0.239999994636,-1.980335207838,-19.803352078377,,,Light Intensity (SUN),1.00735,0.759999990463,-1.933219197072,-19.332191970721,,,Light Intensity (SUN),1.00735,0.239999994636,-1.983694707549,-19.836947075486,,,Light Intensity (SUN),1.00735,0.759999990463,-1.933373747156,-19.333737471563,,,Light Intensity (SUN),1.00735,0.239999994636,-1.976178226611,-19.761782266108,,,Light Intensity (SUN),1.00735,0.759999990463,-1.932697070492,-19.326970704916,,,Light Intensity (SUN),1.00735,0.239999994636,1.725895005382E-7,1.725895005382E-6,,,Light Intensity (SUN),1.00735,0.759999990463,2.077403906274E-7,2.077403906274E-6,,
[Statistic],,0.259999990463,1.683396151103,16.833961511032,,,[Statistic],,0.740000009537,1.028140582711,10.281405827113,,,[Statistic],,0.259999990463,-1.976432933778,-19.764329337784,,,[Statistic],,0.740000009537,-1.937353065126,-19.373530651259,,,[Statistic],,0.259999990463,-1.982317701739,-19.823177017389,,,[Statistic],,0.740000009537,-1.938582339238,-19.385823392375,,,[Statistic],,0.259999990463,-1.978490237317,-19.784902373165,,,[Statistic],,0.740000009537,-1.93874848443,-19.387484844302,,,[Statistic],,0.259999990463,-1.981987799715,-19.819877997147,,,[Statistic],,0.740000009537,-1.938609998001,-19.386099980013,,,[Statistic],,0.259999990463,-1.972413398888,-19.724133988876,,,[Statistic],,0.740000009537,-1.934935966526,-19.349359665265,,,[Statistic],,0.259999990463,1.760150563721E-7,1.760150563721E-6,,,[Statistic],,0.740000009537,1.906139982945E-7,1.906139982945E-6,,
No.,1,0.280000001192,1.719857759506,17.198577595063,,,No.,1,0.72000002861,1.039658839919,10.396588399186,,,No.,1,0.280000001192,-1.974899143611,-19.748991436111,,,No.,1,0.72000002861,-1.939285711617,-19.392857116171,,,No.,1,0.280000001192,-1.978840864153,-19.788408641525,,,No.,1,0.72000002861,-1.939946825412,-19.399468254118,,,No.,1,0.280000001192,-1.976304193404,-19.763041934042,,,No.,1,0.72000002861,-1.941508004689,-19.415080046892,,,No.,1,0.280000001192,-1.980377042681,-19.80377042681,,,No.,1,0.72000002861,-1.943373391847,-19.433733918466,,,No.,1,0.280000001192,-1.970072881935,-19.70072881935,,,No.,1,0.72000002861,-1.94310905419,-19.431090541902,,,No.,1,0.280000001192,1.807539971908E-7,1.807539971908E-6,,,No.,1,0.72000002861,1.685493555675E-7,1.685493555675E-6,,
Name,single jv 2.CH_Ref.Forward(1),0.300000011921,1.750203814916,17.502038149156,,,Name,single jv 2.CH_Ref.Reverse(1),0.699999988079,1.039198695164,10.391986951641,,,Name,single jv 2.CH_Ref.Forward(1),0.300000011921,-1.972982522253,-19.729825222533,,,Name,single jv 2.CH_Ref.Reverse(1),0.699999988079,-1.943824214288,-19.43824214288,,,Name,single jv 2.CH_Ref.Forward(1),0.300000011921,-1.975606406708,-19.756064067082,,,Name,single jv 2.CH_Ref.Reverse(1),0.699999988079,-1.943387375316,-19.433873753164,,,Name,single jv 2.CH_Ref.Forward(1),0.300000011921,-1.975018792804,-19.750187928039,,,Name,single jv 2.CH_Ref.Reverse(1),0.699999988079,-1.945542409055,-19.455424090548,,,Name,single jv 2.CH_Ref.Forward(1),0.300000011921,-1.974352594111,-19.743525941111,,,Name,single jv 2.CH_Ref.Reverse(1),0.699999988079,-1.946032100149,-19.460321001489,,,Name,single jv 2.CH_Ref.Forward(1),0.300000011921,-1.972073943419,-19.720739434185,,,Name,single jv 2.CH_Ref.Reverse(1),0.699999988079,-1.94995371223,-19.499537122297,,,Name,single jv 2.CH_Ref.Forward(1),0.300000011921,1.959851989389E-7,1.959851989389E-6,,,Name,single jv 2.CH_Ref.Reverse(1),0.699999988079,1.538171119919E-7,1.538171119919E-6,,
Isc (mA),-0.291373,0.319999992847,1.778220370651,17.782203706514,,,Isc (mA),-0.6202,0.680000007153,0.982778014301,9.827780143014,,,Isc (mA),1.985629,0.319999992847,-1.970327974322,-19.703279743222,,,Isc (mA),1.999665,0.680000007153,-1.947727451396,-19.477274513962,,,Isc (mA),1.991151,0.319999992847,-1.97278089834,-19.727808983399,,,Isc (mA),1.995464,0.680000007153,-1.945180148588,-19.451801485883,,,Isc (mA),1.995841,0.319999992847,-1.971245567294,-19.712455672944,,,Isc (mA),2.00366,0.680000007153,-1.952018643115,-19.52018643115,,,Isc (mA),1.993706,0.319999992847,-1.973547947511,-19.735479475114,,,Isc (mA),1.996091,0.680000007153,-1.948271689579,-19.482716895789,,,Isc (mA),1.998484,0.319999992847,-1.97390473786,-19.739047378602,,,Isc (mA),1.995892,0.680000007153,-1.960895103158,-19.608951031583,,,Isc (mA),-3.45965E-8,0.319999992847,2.15639477939E-7,2.15639477939E-6,,,Isc (mA),2.577219E-7,0.680000007153,1.455869793833E-7,1.455869793833E-6,,
Voc (V),-0.03689,0.340000003576,1.801265205808,18.012652058083,,,Voc (V),---,0.660000026226,0.925577051976,9.255770519757,,,Voc (V),1.175342,0.340000003576,-1.968286233654,-19.682862336539,,,Voc (V),1.178252,0.660000026226,-1.953303427364,-19.53303427364,,,Voc (V),1.172454,0.340000003576,-1.97087113389,-19.708711338901,,,Voc (V),1.176817,0.660000026226,-1.94660507571,-19.466050757102,,,Voc (V),1.175711,0.340000003576,-1.965957427376,-19.659574273758,,,Voc (V),1.17833,0.660000026226,-1.956975031956,-19.569750319557,,,Voc (V),1.176457,0.340000003576,-1.97154850395,-19.7154850395,,,Voc (V),1.179124,0.660000026226,-1.950556657872,-19.505566578722,,,Voc (V),1.176441,0.340000003576,-1.979304591449,-19.793045914489,,,Voc (V),1.179381,0.660000026226,-1.964409384085,-19.644093840851,,,Voc (V),-0.059335,0.340000003576,2.281102912043E-7,2.281102912043E-6,,,Voc (V),0.474329,0.660000026226,1.300568040878E-7,1.300568040878E-6,,
Pmax (mW),0,0.360000014305,1.822273192585,18.222731925853,,,Pmax (mW),---,0.639999985695,0.898343166064,8.983431660642,,,Pmax (mW),1.615518,0.360000014305,-1.963266976982,-19.632669769824,,,Pmax (mW),1.687217,0.639999985695,-1.958219059976,-19.582190599761,,,Pmax (mW),1.606791,0.360000014305,-1.970881457774,-19.708814577741,,,Pmax (mW),1.691062,0.639999985695,-1.946945378662,-19.469453786622,,,Pmax (mW),1.600869,0.360000014305,-1.961143646813,-19.611436468131,,,Pmax (mW),1.68441,0.639999985695,-1.961320077368,-19.613200773678,,,Pmax (mW),1.590403,0.360000014305,-1.968859979654,-19.688599796543,,,Pmax (mW),1.672568,0.639999985695,-1.952804105781,-19.52804105781,,,Pmax (mW),1.60572,0.360000014305,-1.98049977363,-19.804997736302,,,Pmax (mW),1.685668,0.639999985695,-1.965387687659,-19.653876876587,,,Pmax (mW),0,0.360000014305,2.362742873099E-7,2.362742873099E-6,,,Pmax (mW),3.534841E-8,0.639999985695,1.179017258083E-7,1.179017258083E-6,,
Imax (mA),-0.291373,0.379999995232,1.835935774427,18.359357744275,,,Imax (mA),---,0.620000004768,0.912055884231,9.12055884231,,,Imax (mA),1.755998,0.379999995232,-1.962318335314,-19.623183353142,,,Imax (mA),1.794911,0.620000004768,-1.963887334549,-19.638873345485,,,Imax (mA),1.709352,0.379999995232,-1.968824000148,-19.688240001482,,,Imax (mA),1.761523,0.620000004768,-1.952373045103,-19.523730451026,,,Imax (mA),1.703052,0.379999995232,-1.959906475701,-19.599064757007,,,Imax (mA),1.791926,0.620000004768,-1.961999450569,-19.619994505693,,,Imax (mA),1.728699,0.379999995232,-1.963814682141,-19.638146821411,,,Imax (mA),1.779328,0.620000004768,-1.959220861942,-19.592208619424,,,Imax (mA),1.745348,0.379999995232,-1.977813098388,-19.778130983884,,,Imax (mA),1.793264,0.620000004768,-1.968642253564,-19.686422535637,,,Imax (mA),-3.45965E-8,0.379999995232,2.29540193443E-7,2.29540193443E-6,,,Imax (mA),1.359554E-7,0.620000004768,1.02138364463E-7,1.02138364463E-6,,
Vmax (V),0,0.40000000596,1.849020372854,18.490203728542,,,Vmax (V),---,0.600000023842,0.934636048304,9.346360483036,,,Vmax (V),0.92,0.40000000596,-1.963156496015,-19.631564960149,,,Vmax (V),0.94,0.600000023842,-1.967537675021,-19.67537675021,,,Vmax (V),0.94,0.40000000596,-1.964967567216,-19.649675672156,,,Vmax (V),0.96,0.600000023842,-1.958546419551,-19.585464195512,,,Vmax (V),0.94,0.40000000596,-1.961123769484,-19.611237694842,,,Vmax (V),0.94,0.600000023842,-1.96554454906,-19.655445490602,,,Vmax (V),0.92,0.40000000596,-1.961884886275,-19.618848862746,,,Vmax (V),0.94,0.600000023842,-1.963563596037,-19.635635960372,,,Vmax (V),0.92,0.40000000596,-1.973093927748,-19.730939277477,,,Vmax (V),0.94,0.600000023842,-1.971531014982,-19.715310149823,,,Vmax (V),0,0.40000000596,2.356090005622E-7,2.356090005622E-6,,,Vmax (V),0.26,0.600000023842,8.704017046895E-8,8.704017046895E-7,,
Efficiency (%),0,0.419999986887,1.858995170883,18.589951708835,,,Efficiency (%),---,0.579999983311,0.933613868223,9.33613868223,,,Efficiency (%),16.15518,0.419999986887,-1.965366577627,-19.653665776273,,,Efficiency (%),16.87217,0.579999983311,-1.970308405169,-19.703084051689,,,Efficiency (%),16.06791,0.419999986887,-1.965412033534,-19.654120335344,,,Efficiency (%),16.91062,0.579999983311,-1.965485302293,-19.654853022931,,,Efficiency (%),16.00869,0.419999986887,-1.959440668219,-19.594406682187,,,Efficiency (%),16.8441,0.579999983311,-1.968173903633,-19.681739036326,,,Efficiency (%),15.90403,0.419999986887,-1.958618840827,-19.58618840827,,,Efficiency (%),16.72568,0.579999983311,-1.968420367102,-19.684203671019,,,Efficiency (%),16.0572,0.419999986887,-1.967995778112,-19.679957781119,,,Efficiency (%),16.85668,0.579999983311,-1.972225951054,-19.722259510537,,,Efficiency (%),0,0.419999986887,2.492440587478E-7,2.492440587478E-6,,,Efficiency (%),0,0.579999983311,7.866014238308E-8,7.866014238308E-7,,
Fill Factor (%),-0,0.439999997616,1.87226417391,18.722641739096,,,Fill Factor (%),---,0.560000002384,0.94796200604,9.479620060405,,,Fill Factor (%),69.22286,0.439999997616,-1.964694061334,-19.646940613338,,,Fill Factor (%),71.6103,0.560000002384,-1.968659819575,-19.686598195752,,,Fill Factor (%),68.82712,0.439999997616,-1.96161546372,-19.616154637201,,,Fill Factor (%),72.01229,0.560000002384,-1.968991416565,-19.689914165654,,,Fill Factor (%),68.22273,0.439999997616,-1.959660859714,-19.596608597145,,,Fill Factor (%),71.34389,0.560000002384,-1.970457870355,-19.70457870355,,,Fill Factor (%),67.80628,0.439999997616,-1.958250339804,-19.582503398037,,,Fill Factor (%),71.0631,0.560000002384,-1.968971154017,-19.68971154017,,,Fill Factor (%),68.29662,0.439999997616,-1.965745864798,-19.657458647979,,,Fill Factor (%),71.61119,0.560000002384,-1.973670524373,-19.736705243728,,,Fill Factor (%),-0,0.439999997616,2.768789040188E-7,2.768789040188E-6,,,Fill Factor (%),28.91606,0.560000002384,5.509863891508E-8,5.509863891508E-7,,
Jsc (mA/cm^2),-2.913734,0.460000008345,1.880566772387,18.805667723867,,,Jsc (mA/cm^2),-6.201998,0.540000021458,0.954597200949,9.545972009487,,,Jsc (mA/cm^2),19.85629,0.460000008345,-1.9655965537,-19.655965536997,,,Jsc (mA/cm^2),19.996653,0.540000021458,-1.965715278366,-19.657152783655,,,Jsc (mA/cm^2),19.911509,0.460000008345,-1.960414965509,-19.60414965509,,,Jsc (mA/cm^2),19.954639,0.540000021458,-1.971825399764,-19.718253997638,,,Jsc (mA/cm^2),19.958412,0.460000008345,-1.955383767031,-19.553837670313,,,Jsc (mA/cm^2),20.036603,0.540000021458,-1.972689524262,-19.726895242623,,,Jsc (mA/cm^2),19.937061,0.460000008345,-1.953639492901,-19.53639492901,,,Jsc (mA/cm^2),19.960906,0.540000021458,-1.971420996278,-19.714209962783,,,Jsc (mA/cm^2),19.984838,0.460000008345,-1.959693449289,-19.596934492885,,,Jsc (mA/cm^2),19.958921,0.540000021458,-1.975562337591,-19.755623375914,,,Jsc (mA/cm^2),-3.45965E-7,0.460000008345,2.953691677074E-7,2.953691677074E-6,,,Jsc (mA/cm^2),2.577219E-6,0.540000021458,5.147377350575E-8,5.147377350575E-7,,
Jmax (mA/cm^2),-2.913734,0.479999989271,1.888920836196,18.889208361958,,,Jmax (mA/cm^2),---,0.519999980927,0.935815224613,9.358152246125,,,Jmax (mA/cm^2),17.559978,0.479999989271,-1.959877738322,-19.598777383221,,,Jmax (mA/cm^2),17.949112,0.519999980927,-1.967817729635,-19.678177296351,,,Jmax (mA/cm^2),17.093522,0.479999989271,-1.954505312365,-19.545053123655,,,Jmax (mA/cm^2),17.615231,0.519999980927,-1.973277061123,-19.732770611226,,,Jmax (mA/cm^2),17.030524,0.479999989271,-1.954865338559,-19.548653385586,,,Jmax (mA/cm^2),17.919256,0.519999980927,-1.974316922781,-19.743169227806,,,Jmax (mA/cm^2),17.286992,0.479999989271,-1.953084314483,-19.53084314483,,,Jmax (mA/cm^2),17.793276,0.519999980927,-1.972832440716,-19.72832440716,,,Jmax (mA/cm^2),17.453479,0.479999989271,-1.95708505066,-19.570850506597,,,Jmax (mA/cm^2),17.932639,0.519999980927,-1.973013262774,-19.730132627736,,,Jmax (mA/cm^2),-3.45965E-7,0.479999989271,3.042149915747E-7,3.042149915747E-6,,,Jmax (mA/cm^2),1.359554E-6,0.519999980927,2.215893959459E-8,2.215893959459E-7,,
Area (cm^2),0.1,0.5,1.893640969885,18.936409698855,,,Area (cm^2),0.1,0.5,0.885025914289,8.850259142892,,,Area (cm^2),0.1,0.5,-1.956398281243,-19.563982812428,,,Area (cm^2),0.1,0.5,-1.973536236837,-19.73536236837,,,Area (cm^2),0.1,0.5,-1.952732840164,-19.527328401639,,,Area (cm^2),0.1,0.5,-1.973303949447,-19.733039494473,,,Area (cm^2),0.1,0.5,-1.948788654217,-19.487886542174,,,Area (cm^2),0.1,0.5,-1.975285595865,-19.752855958655,,,Area (cm^2),0.1,0.5,-1.952713425099,-19.527134250985,,,Area (cm^2),0.1,0.5,-1.977852621914,-19.778526219145,,,Area (cm^2),0.1,0.5,-1.956098118168,-19.560981181681,,,Area (cm^2),0.1,0.5,-1.976074602551,-19.760746025514,,,Area (cm^2),0.1,0.5,3.01836924614E-7,3.01836924614E-6,,,Area (cm^2),0.1,0.5,1.44103920998E-8,1.44103920998E-7,,
Rs (ohm),128.76,0.519999980927,1.899684101604,18.996841016037,,,Rs (ohm),---,0.479999989271,0.797583541445,7.975835414455,,,Rs (ohm),73.47,0.519999980927,-1.951734274042,-19.517342740419,,,Rs (ohm),67.21,0.479999989271,-1.972753085488,-19.727530854883,,,Rs (ohm),68.52,0.519999980927,-1.950722379323,-19.507223793233,,,Rs (ohm),65.4,0.479999989271,-1.970027426028,-19.700274260279,,,Rs (ohm),74.7,0.519999980927,-1.945442406059,-19.454424060591,,,Rs (ohm),67.74,0.479999989271,-1.972985295834,-19.729852958341,,,Rs (ohm),76.73,0.519999980927,-1.951844292746,-19.518442927459,,,Rs (ohm),70.36,0.479999989271,-1.977730199141,-19.777301991409,,,Rs (ohm),75.92,0.519999980927,-1.954776198754,-19.547761987543,,,Rs (ohm),70.01,0.479999989271,-1.975469268548,-19.754692685477,,,Rs (ohm),1151033059.23,0.519999980927,3.113980991198E-7,3.113980991198E-6,,,Rs (ohm),1848778462.78,0.479999989271,-2.050997052199E-9,-2.050997052199E-8,,
Rsh (ohm),126.1,0.540000021458,1.905466324119,19.054663241195,,,Rsh (ohm),58.2,0.460000008345,0.696463871373,6.964638713727,,,Rsh (ohm),19278.5,0.540000021458,-1.952251777988,-19.522517779877,,,Rsh (ohm),38981.8,0.460000008345,-1.969864863377,-19.69864863377,,,Rsh (ohm),33027.9,0.540000021458,-1.94390680536,-19.439068053599,,,Rsh (ohm),18896.5,0.460000008345,-1.968729775446,-19.687297754458,,,Rsh (ohm),109960.1,0.540000021458,-1.934620664323,-19.346206643233,,,Rsh (ohm),13092.2,0.460000008345,-1.972400609598,-19.724006095984,,,Rsh (ohm),13168.1,0.540000021458,-1.950233073449,-19.502330734487,,,Rsh (ohm),21970.5,0.460000008345,-1.98012718928,-19.801271892798,,,Rsh (ohm),15568.7,0.540000021458,-1.953010583461,-19.530105834608,,,Rsh (ohm),12446202.2,0.460000008345,-1.981920386293,-19.819203862932,,,Rsh (ohm),1481672518.4,0.540000021458,3.20476773808E-7,3.20476773808E-6,,,Rsh (ohm),1480308081.9,0.460000008345,5.182104353071E-9,5.182104353071E-8,,
V/s,0.301529,0.560000002384,1.91115840526,19.111584052601,,,V/s,0.276134,0.439999997616,0.643896734296,6.438967342961,,,V/s,0.309803,0.560000002384,-1.950972617944,-19.509726179441,,,V/s,0.297809,0.439999997616,-1.968272288706,-19.682722887062,,,V/s,0.323176,0.560000002384,-1.939482520286,-19.394825202861,,,V/s,0.30581,0.439999997616,-1.964085414442,-19.64085414442,,,V/s,0.310078,0.560000002384,-1.93272757988,-19.327275798801,,,V/s,0.297619,0.439999997616,-1.975903642114,-19.759036421143,,,V/s,0.310078,0.560000002384,-1.94286474795,-19.428647479505,,,V/s,0.293563,0.439999997616,-1.97835178941,-19.783517894096,,,V/s,0.309735,0.560000002384,-1.953153885134,-19.53153885134,,,V/s,0.301529,0.439999997616,-1.983210486572,-19.83210486572,,,V/s,0.327792,0.560000002384,3.263795370668E-7,3.263795370668E-6,,,V/s,0.327715,0.439999997616,-9.41863339669E-9,-9.41863339669E-8,,
,,0.579999983311,1.914147593416,19.141475934159,,,,,0.419999986887,0.637451163712,6.374511637122,,,,,0.579999983311,-1.946280335628,-19.462803356281,,,,,0.419999986887,-1.973353488682,-19.733534886817,,,,,0.579999983311,-1.933961014363,-19.339610143629,,,,,0.419999986887,-1.968390088845,-19.683900888451,,,,,0.579999983311,-1.931363209272,-19.313632092717,,,,,0.419999986887,-1.983789009295,-19.837890092948,,,,,0.579999983311,-1.937047663065,-19.370476630653,,,,,0.419999986887,-1.980398229756,-19.803982297564,,,,,0.579999983311,-1.955078364971,-19.550783649707,,,,,0.419999986887,-1.989545036881,-19.895450368811,,,,,0.579999983311,3.379350196607E-7,3.379350196607E-6,,,,,0.419999986887,-2.536598596986E-8,-2.536598596986E-7,,
,,0.600000023842,1.920986396118,19.209863961182,,,,,0.40000000596,0.654929210388,6.549292103876,,,,,0.600000023842,-1.939619812534,-19.396198125343,,,,,0.40000000596,-1.976378617822,-19.763786178216,,,,,0.600000023842,-1.935013896442,-19.350138964418,,,,,0.40000000596,-1.969314692813,-19.693146928132,,,,,0.600000023842,-1.933454527696,-19.334545276963,,,,,0.40000000596,-1.987713086781,-19.877130867808,,,,,0.600000023842,-1.93184292318,-19.318429231795,,,,,0.40000000596,-1.977938294743,-19.779382947428,,,,,0.600000023842,-1.952793550765,-19.527935507653,,,,,0.40000000596,-1.993727827818,-19.93727827818,,,,,0.600000023842,3.483942582604E-7,3.483942582604E-6,,,,,0.40000000596,-4.211060210152E-8,-4.211060210152E-7,,
,,0.620000004768,1.929398512514,19.293985125139,,,,,0.379999995232,0.629803862215,6.298038622146,,,,,0.620000004768,-1.932585819085,-19.325858190851,,,,,0.379999995232,-1.980684293796,-19.806842937955,,,,,0.620000004768,-1.932664866137,-19.326648661371,,,,,0.379999995232,-1.97499606485,-19.749960648504,,,,,0.620000004768,-1.930821898758,-19.308218987576,,,,,0.379999995232,-1.988871056753,-19.888710567534,,,,,0.620000004768,-1.929386339576,-19.29386339576,,,,,0.379999995232,-1.982309612128,-19.823096121283,,,,,0.620000004768,-1.945463207915,-19.454632079149,,,,,0.379999995232,-1.996042072797,-19.960420727971,,,,,0.620000004768,3.583047044054E-7,3.583047044054E-6,,,,,0.379999995232,-4.043094983825E-8,-4.043094983825E-7,,
,,0.639999985695,1.941537358419,19.41537358419,,,,,0.360000014305,0.588481437942,5.884814379415,,,,,0.639999985695,-1.924114879664,-19.241148796639,,,,,0.360000014305,-1.981902280974,-19.819022809743,,,,,0.639999985695,-1.931144250479,-19.311442504785,,,,,0.360000014305,-1.975479515388,-19.754795153878,,,,,0.639999985695,-1.929391039255,-19.293910392546,,,,,0.360000014305,-1.987745830443,-19.877458304427,,,,,0.639999985695,-1.923651691675,-19.236516916749,,,,,0.360000014305,-1.981773078337,-19.817730783366,,,,,0.639999985695,-1.933886859599,-19.338868595992,,,,,0.360000014305,-1.994584402013,-19.945844020133,,,,,0.639999985695,3.641406790724E-7,3.641406790724E-6,,,,,0.360000014305,-4.576930724775E-8,-4.576930724775E-7,,
,,0.660000026226,1.947838009408,19.478380094076,,,,,0.340000003576,0.594089791613,5.940897916126,,,,,0.660000026226,-1.918407120087,-19.184071200875,,,,,0.340000003576,-1.985691146398,-19.856911463975,,,,,0.660000026226,-1.922299224351,-19.222992243506,,,,,0.340000003576,-1.980091826125,-19.800918261249,,,,,0.660000026226,-1.926077149539,-19.260771495386,,,,,0.340000003576,-1.986655736155,-19.866557361551,,,,,0.660000026226,-1.919256105458,-19.192561054576,,,,,0.340000003576,-1.985015702435,-19.850157024355,,,,,0.660000026226,-1.923850888705,-19.238508887051,,,,,0.340000003576,-1.994269677639,-19.942696776395,,,,,0.660000026226,3.748654096722E-7,3.748654096722E-6,,,,,0.340000003576,-6.840299506874E-8,-6.840299506874E-7,,
,,0.680000007153,1.956388342578,19.563883425784,,,,,0.319999992847,0.643675406403,6.436754064026,,,,,0.680000007153,-1.91572013667,-19.157201366701,,,,,0.319999992847,-1.985436131054,-19.854361310542,,,,,0.680000007153,-1.917490644252,-19.174906442519,,,,,0.319999992847,-1.985916499835,-19.859164998353,,,,,0.680000007153,-1.920652950074,-19.206529500742,,,,,0.319999992847,-1.989696274077,-19.896962740771,,,,,0.680000007153,-1.91424520805,-19.142452080503,,,,,0.319999992847,-1.980965195893,-19.809651958926,,,,,0.680000007153,-1.919094698465,-19.190946984654,,,,,0.319999992847,-1.991165116228,-19.91165116228,,,,,0.680000007153,3.878188788891E-7,3.878188788891E-6,,,,,0.319999992847,-8.912443696733E-8,-8.912443696733E-7,,
